arrival_time,start_time,finish_time,wait_time,queue_length,arrival_minutes,start_minutes
30-03-2023 0.10,30-03-2023 0.10,2023-03-30 00:22:44.800000000,12.68,28,10,10
30-03-2023 0.10,30-03-2023 0.16,2023-03-30 00:25:53.200000000,9.82,28,10,16
30-03-2023 0.10,30-03-2023 0.16,2023-03-30 00:25:48.400000000,9.74,28,10,16
30-03-2023 0.10,30-03-2023 0.14,2023-03-30 00:27:23.200000000,13.32,28,10,14
30-03-2023 0.10,30-03-2023 0.15,2023-03-30 00:31:21.400000000,16.29,28,10,15
30-03-2023 0.10,30-03-2023 0.20,2023-03-30 00:35:37.600000000,15.56,28,10,20
30-03-2023 0.10,30-03-2023 0.20,2023-03-30 00:31:56.199999999,11.87,28,10,20
30-03-2023 0.10,30-03-2023 0.17,2023-03-30 00:30:07.600000000,13.06,28,10,17
30-03-2023 0.10,30-03-2023 0.12,2023-03-30 00:25:37.600000000,13.56,28,10,12
30-03-2023 0.10,30-03-2023 0.18,2023-03-30 00:22:31.000000000,4.45,28,10,18
30-03-2023 0.10,30-03-2023 0.14,2023-03-30 00:21:20.800000000,7.28,28,10,14
30-03-2023 0.10,30-03-2023 0.19,2023-03-30 00:25:33.400000000,6.49,28,10,19
30-03-2023 0.10,30-03-2023 0.20,2023-03-30 00:20:24.400000000,0.34,28,10,20
30-03-2023 0.10,30-03-2023 0.10,2023-03-30 00:25:58.600000000,15.91,28,10,10
30-03-2023 0.10,30-03-2023 0.14,2023-03-30 00:22:28.000000000,8.4,28,10,14
30-03-2023 0.10,30-03-2023 0.10,2023-03-30 00:21:54.400000000,11.84,28,10,10
30-03-2023 0.10,30-03-2023 0.16,2023-03-30 00:33:38.200000000,17.57,28,10,16
30-03-2023 0.10,30-03-2023 0.17,2023-03-30 00:26:48.400000000,9.74,28,10,17
30-03-2023 0.10,30-03-2023 0.12,2023-03-30 00:31:58.600000000,19.91,28,10,12
30-03-2023 0.10,30-03-2023 0.13,2023-03-30 00:25:48.400000000,12.74,28,10,13
30-03-2023 0.10,30-03-2023 0.20,2023-03-30 00:32:24.400000000,12.34,28,10,20
30-03-2023 0.10,30-03-2023 0.11,2023-03-30 00:24:20.199999999,13.27,28,10,11
30-03-2023 0.10,30-03-2023 0.17,2023-03-30 00:29:49.600000000,12.76,28,10,17
30-03-2023 0.10,30-03-2023 0.19,2023-03-30 00:30:52.600000000,11.81,28,10,19
30-03-2023 0.10,30-03-2023 0.11,2023-03-30 00:19:27.400000000,8.39,28,10,11
30-03-2023 0.10,30-03-2023 0.17,2023-03-30 00:24:37.599999999,7.56,28,10,17
30-03-2023 0.10,30-03-2023 0.18,2023-03-30 00:22:35.800000000,4.53,28,10,18
30-03-2023 0.10,30-03-2023 0.11,2023-03-30 00:20:01.000000000,8.95,28,10,11
30-03-2023 1.58,30-03-2023 1.58,2023-03-30 02:21:26.200000000,22.82,27,118,118
30-03-2023 1.58,30-03-2023 2.04,2023-03-30 02:16:49.000000000,12.2,27,118,124
30-03-2023 1.58,30-03-2023 2.00,2023-03-30 02:05:36.400000000,4.99,27,118,120
30-03-2023 1.58,30-03-2023 1.58,2023-03-30 02:11:40.000000000,13.05,27,118,118
30-03-2023 1.58,30-03-2023 2.06,2023-03-30 02:13:08.800000000,6.53,27,118,126
30-03-2023 1.58,30-03-2023 2.07,2023-03-30 02:20:21.400000000,12.74,27,118,127
30-03-2023 1.58,30-03-2023 2.08,2023-03-30 02:17:07.000000000,8.5,27,118,128
30-03-2023 1.58,30-03-2023 1.58,2023-03-30 02:07:43.000000000,9.1,27,118,118
30-03-2023 1.58,30-03-2023 2.07,2023-03-30 02:11:52.600000000,4.26,27,118,127
30-03-2023 1.58,30-03-2023 2.00,2023-03-30 02:07:01.000000000,6.4,27,118,120
30-03-2023 1.58,30-03-2023 1.59,2023-03-30 02:00:30.400000000,0.89,27,118,119
30-03-2023 1.58,30-03-2023 1.58,2023-03-30 02:06:31.600000000,7.91,27,118,118
30-03-2023 1.58,30-03-2023 2.06,2023-03-30 02:30:37.600000000,24.01,27,118,126
30-03-2023 1.58,30-03-2023 1.58,2023-03-30 02:17:03.400000000,18.44,27,118,118
30-03-2023 1.58,30-03-2023 2.02,2023-03-30 02:14:51.400000000,12.24,27,118,122
30-03-2023 1.58,30-03-2023 2.08,2023-03-30 02:22:04.600000000,13.46,27,118,128
30-03-2023 1.58,30-03-2023 2.01,2023-03-30 02:16:49.600000000,15.21,27,118,121
30-03-2023 1.58,30-03-2023 2.06,2023-03-30 02:24:08.800000000,17.53,27,118,126
30-03-2023 1.58,30-03-2023 2.01,2023-03-30 02:09:23.800000000,7.78,27,118,121
30-03-2023 1.58,30-03-2023 2.05,2023-03-30 02:17:34.000000000,11.95,27,118,125
30-03-2023 1.58,30-03-2023 2.08,2023-03-30 02:15:40.599999999,7.06,27,118,128
30-03-2023 1.58,30-03-2023 1.59,2023-03-30 02:07:57.400000000,8.34,27,118,119
30-03-2023 1.58,30-03-2023 2.05,2023-03-30 02:09:41.800000000,4.08,27,118,125
30-03-2023 1.58,30-03-2023 2.06,2023-03-30 02:19:40.600000000,13.06,27,118,126
30-03-2023 1.58,30-03-2023 1.59,2023-03-30 02:13:24.400000000,13.79,27,118,119
30-03-2023 1.58,30-03-2023 2.07,2023-03-30 02:16:05.200000000,8.47,27,118,127
30-03-2023 1.58,30-03-2023 2.05,2023-03-30 02:20:43.599999999,15.11,27,118,125
30-03-2023 2.36,30-03-2023 2.36,2023-03-30 02:47:44.400000000,11.59,17,156,156
30-03-2023 2.36,30-03-2023 2.38,2023-03-30 02:46:10.799999999,8.03,17,156,158
30-03-2023 2.36,30-03-2023 2.42,2023-03-30 02:50:25.799999999,8.28,17,156,162
30-03-2023 2.36,30-03-2023 2.41,2023-03-30 02:44:05.400000000,2.94,17,156,161
30-03-2023 2.36,30-03-2023 2.39,2023-03-30 02:46:37.800000000,7.48,17,156,159
30-03-2023 2.36,30-03-2023 2.38,2023-03-30 02:43:47.400000000,5.64,17,156,158
30-03-2023 2.36,30-03-2023 2.41,2023-03-30 02:48:39.000000000,7.5,17,156,161
30-03-2023 2.36,30-03-2023 2.39,2023-03-30 02:57:00.599999999,17.86,17,156,159
30-03-2023 2.36,30-03-2023 2.38,2023-03-30 02:44:37.200000000,6.47,17,156,158
30-03-2023 2.36,30-03-2023 2.41,2023-03-30 02:42:41.400000000,1.54,17,156,161
30-03-2023 2.36,30-03-2023 2.43,2023-03-30 02:48:47.400000000,5.64,17,156,163
30-03-2023 2.36,30-03-2023 2.45,2023-03-30 02:52:37.800000000,7.48,17,156,165
30-03-2023 2.36,30-03-2023 2.45,2023-03-30 03:01:06.600000000,15.96,17,156,165
30-03-2023 2.36,30-03-2023 2.38,2023-03-30 02:59:18.600000000,21.16,17,156,158
30-03-2023 2.36,30-03-2023 2.44,2023-03-30 02:54:02.400000000,9.89,17,156,164
30-03-2023 2.36,30-03-2023 2.36,2023-03-30 02:41:40.800000000,5.53,17,156,156
30-03-2023 2.36,30-03-2023 2.39,2023-03-30 02:53:52.200000000,14.72,17,156,159
30-03-2023 3.02,30-03-2023 3.02,2023-03-30 03:06:43.800000000,4.48,45,182,182
30-03-2023 3.02,30-03-2023 3.10,2023-03-30 03:27:51.599999999,17.61,45,182,190
30-03-2023 3.02,30-03-2023 3.02,2023-03-30 03:13:09.600000000,10.91,45,182,182
30-03-2023 3.02,30-03-2023 3.08,2023-03-30 03:16:45.599999999,8.51,45,182,188
30-03-2023 3.02,30-03-2023 3.08,2023-03-30 03:24:37.800000000,16.38,45,182,188
30-03-2023 3.02,30-03-2023 3.03,2023-03-30 03:22:00.600000000,18.76,45,182,183
30-03-2023 3.02,30-03-2023 3.08,2023-03-30 03:22:54.000000000,14.65,45,182,188
30-03-2023 3.02,30-03-2023 3.02,2023-03-30 03:10:07.200000000,7.87,45,182,182
30-03-2023 3.02,30-03-2023 3.10,2023-03-30 03:13:55.200000000,3.67,45,182,190
30-03-2023 3.02,30-03-2023 3.10,2023-03-30 03:28:37.800000000,18.38,45,182,190
30-03-2023 3.02,30-03-2023 3.06,2023-03-30 03:17:31.199999999,11.27,45,182,186
30-03-2023 3.02,30-03-2023 3.08,2023-03-30 03:25:52.800000000,17.63,45,182,188
30-03-2023 3.02,30-03-2023 3.02,2023-03-30 03:16:33.000000000,14.3,45,182,182
30-03-2023 3.02,30-03-2023 3.09,2023-03-30 03:30:25.200000000,21.17,45,182,189
30-03-2023 3.02,30-03-2023 3.07,2023-03-30 03:17:52.199999999,10.62,45,182,187
30-03-2023 3.02,30-03-2023 3.04,2023-03-30 03:06:34.200000000,2.32,45,182,184
30-03-2023 3.02,30-03-2023 3.12,2023-03-30 03:15:01.799999999,2.78,45,182,192
30-03-2023 3.02,30-03-2023 3.12,2023-03-30 03:16:40.200000000,4.42,45,182,192
30-03-2023 3.02,30-03-2023 3.07,2023-03-30 03:22:12.000000000,14.95,45,182,187
30-03-2023 3.02,30-03-2023 3.12,2023-03-30 03:12:39.000000000,0.4,45,182,192
30-03-2023 3.02,30-03-2023 3.05,2023-03-30 03:08:32.400000000,3.29,45,182,185
30-03-2023 3.02,30-03-2023 3.03,2023-03-30 03:06:45.600000000,3.51,45,182,183
30-03-2023 3.02,30-03-2023 3.03,2023-03-30 03:05:03.000000000,1.8,45,182,183
30-03-2023 3.02,30-03-2023 3.03,2023-03-30 03:13:21.599999999,10.11,45,182,183
30-03-2023 3.02,30-03-2023 3.02,2023-03-30 03:19:08.999999999,16.9,45,182,182
30-03-2023 3.02,30-03-2023 3.11,2023-03-30 03:25:03.600000000,13.81,45,182,191
30-03-2023 3.02,30-03-2023 3.04,2023-03-30 03:11:01.200000000,6.77,45,182,184
30-03-2023 3.02,30-03-2023 3.11,2023-03-30 03:20:06.000000000,8.85,45,182,191
30-03-2023 3.02,30-03-2023 3.03,2023-03-30 03:00:29.400000000,-2.76,45,182,183
30-03-2023 3.02,30-03-2023 3.10,2023-03-30 03:19:58.800000000,9.73,45,182,190
30-03-2023 3.02,30-03-2023 3.05,2023-03-30 03:10:53.400000000,5.64,45,182,185
30-03-2023 3.02,30-03-2023 3.02,2023-03-30 03:14:32.400000000,12.29,45,182,182
30-03-2023 3.02,30-03-2023 3.04,2023-03-30 03:16:40.800000000,12.43,45,182,184
30-03-2023 3.02,30-03-2023 3.05,2023-03-30 03:17:49.800000000,12.58,45,182,185
30-03-2023 3.02,30-03-2023 3.02,2023-03-30 03:13:52.800000000,11.63,45,182,182
30-03-2023 3.02,30-03-2023 3.12,2023-03-30 03:19:13.800000000,6.98,45,182,192
30-03-2023 3.02,30-03-2023 3.02,2023-03-30 03:05:32.400000000,3.29,45,182,182
30-03-2023 3.02,30-03-2023 3.11,2023-03-30 03:24:03.000000000,12.8,45,182,191
30-03-2023 3.02,30-03-2023 3.05,2023-03-30 03:10:12.000000000,4.95,45,182,185
30-03-2023 3.02,30-03-2023 3.09,2023-03-30 03:18:42.600000000,9.46,45,182,189
30-03-2023 3.02,30-03-2023 3.03,2023-03-30 03:13:15.000000000,10.0,45,182,183
30-03-2023 3.02,30-03-2023 3.02,2023-03-30 03:20:34.200000000,18.32,45,182,182
30-03-2023 3.02,30-03-2023 3.02,2023-03-30 03:14:18.600000000,12.06,45,182,182
30-03-2023 3.02,30-03-2023 3.02,2023-03-30 03:13:24.600000000,11.16,45,182,182
30-03-2023 3.02,30-03-2023 3.03,2023-03-30 03:10:53.400000000,7.64,45,182,183
30-03-2023 4.45,30-03-2023 4.45,2023-03-30 04:53:34.799999999,8.53,3,285,285
30-03-2023 4.45,30-03-2023 4.46,2023-03-30 04:58:27.600000000,12.41,3,285,286
30-03-2023 4.45,30-03-2023 4.47,2023-03-30 04:59:08.400000000,12.09,3,285,287
30-03-2023 5.34,30-03-2023 5.34,2023-03-30 05:37:11.400000000,2.89,50,334,334
30-03-2023 5.34,30-03-2023 5.38,2023-03-30 05:46:16.800000000,7.98,50,334,338
30-03-2023 5.34,30-03-2023 5.35,2023-03-30 05:47:33.000000000,12.25,50,334,335
30-03-2023 5.34,30-03-2023 5.40,2023-03-30 05:49:10.800000000,8.88,50,334,340
30-03-2023 5.34,30-03-2023 5.41,2023-03-30 05:52:10.800000000,10.88,50,334,341
30-03-2023 5.34,30-03-2023 5.39,2023-03-30 05:46:27.600000000,7.16,50,334,339
30-03-2023 5.34,30-03-2023 5.35,2023-03-30 05:37:37.200000000,2.32,50,334,335
30-03-2023 5.34,30-03-2023 5.42,2023-03-30 05:56:09.599999999,13.86,50,334,342
30-03-2023 5.34,30-03-2023 5.39,2023-03-30 05:43:20.400000000,4.04,50,334,339
30-03-2023 5.34,30-03-2023 5.39,2023-03-30 05:43:21.599999999,4.06,50,334,339
30-03-2023 5.34,30-03-2023 5.41,2023-03-30 06:02:58.800000000,21.68,50,334,341
30-03-2023 5.34,30-03-2023 5.44,2023-03-30 05:54:24.000000000,10.1,50,334,344
30-03-2023 5.34,30-03-2023 5.38,2023-03-30 05:51:33.600000000,13.26,50,334,338
30-03-2023 5.34,30-03-2023 5.36,2023-03-30 05:51:19.800000000,15.03,50,334,336
30-03-2023 5.34,30-03-2023 5.42,2023-03-30 05:53:54.000000000,11.6,50,334,342
30-03-2023 5.34,30-03-2023 5.37,2023-03-30 05:38:31.200000000,1.22,50,334,337
30-03-2023 5.34,30-03-2023 5.40,2023-03-30 05:49:12.000000000,8.9,50,334,340
30-03-2023 5.34,30-03-2023 5.42,2023-03-30 05:47:35.400000000,5.29,50,334,342
30-03-2023 5.34,30-03-2023 5.44,2023-03-30 05:55:49.800000000,11.53,50,334,344
30-03-2023 5.34,30-03-2023 5.38,2023-03-30 05:50:42.000000000,12.4,50,334,338
30-03-2023 5.34,30-03-2023 5.37,2023-03-30 05:46:46.800000000,9.48,50,334,337
30-03-2023 5.34,30-03-2023 5.40,2023-03-30 05:48:33.599999999,8.26,50,334,340
30-03-2023 5.34,30-03-2023 5.37,2023-03-30 05:38:38.400000000,1.34,50,334,337
30-03-2023 5.34,30-03-2023 5.36,2023-03-30 05:43:54.000000000,7.6,50,334,336
30-03-2023 5.34,30-03-2023 5.43,2023-03-30 05:51:55.800000000,8.63,50,334,343
30-03-2023 5.34,30-03-2023 5.34,2023-03-30 05:49:05.400000000,14.79,50,334,334
30-03-2023 5.34,30-03-2023 5.35,2023-03-30 05:42:39.600000000,7.36,50,334,335
30-03-2023 5.34,30-03-2023 5.39,2023-03-30 05:57:41.400000000,18.39,50,334,339
30-03-2023 5.34,30-03-2023 5.41,2023-03-30 05:53:32.400000000,12.24,50,334,341
